page,image_path,image_type,exists,local,has_alt,contains_old_brand,contains_contact_details,width,height,status,notes
/products/throttle-control-cable,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/gym-equipment-cable-assembly,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/weight-stack-cable-assembly,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/pvc-coated-gym-cable,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/fitness-cable-with-ball-end,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/wire-rope-thimble,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/wire-rope-sleeve,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/swage-terminal,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/cable-gripper,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,"Real image needed: main product image, fitting detail, construction detail and application image. Recommended size 1200x900 or 4:3."
/products/7x7-stainless-steel-wire-rope,/images/placeholders/wire-rope-placeholder.svg,product-main,true,true,true,false,false,1200,900,ok,Draft product image is not published.
